,name,start_time,end_time,target
0,M2BS24P3,0.2,1.2,0
1,M2BS24P3,1.4,2.4,0
2,M2BS24P3,2.6,3.6,0
3,M2BS24P3,3.8,4.8,1
4,M2BS24P3,5.0,6.0,0
5,M2BS24P3,6.2,7.2,1
6,M2BS24P3,7.4,8.4,1
7,M2BS24P3,8.6,9.6,0
8,M2BS24P3,9.8,10.8,1
9,M2BS24P3,11.0,12.0,0
10,M2BS24P3,12.2,13.2,1
11,M2BS24P3,13.4,14.4,1
12,M2BS24P3,14.6,15.6,0
13,M2BS24P3,15.8,16.8,0
14,M2BS24P3,17.0,18.0,1
15,M2BS24P3,18.2,19.2,1
16,M2BS24P3,19.4,20.4,0
17,M2BS24P3,20.6,21.6,1
18,M2BS24P3,21.8,22.8,0
19,M2BS24P3,23.0,24.0,0
20,M2BS24P3,24.2,25.2,0
21,M2BS24P3,25.4,26.4,1
22,M2BS24P3,26.6,27.6,0
23,F2BS11P2,0.2,1.2,0
24,F2BS11P2,1.4,2.4,0
25,F2BS11P2,2.6,3.6,0
26,F2BS11P2,3.8,4.8,1
27,F2BS11P2,5.0,6.0,0
28,F2BS11P2,6.2,7.2,1
29,F2BS11P2,7.4,8.4,1
30,F2BS11P2,8.6,9.6,0
31,F2BS11P2,9.8,10.8,1
32,F2BS11P2,11.0,12.0,0
33,F2BS11P2,12.2,13.2,1
34,F2BS11P2,13.4,14.4,1
35,F2BS11P2,14.6,15.6,0
36,F2BS11P2,15.8,16.8,0
37,F2BS11P2,17.0,18.0,1
38,F2BS11P2,18.2,19.2,1
39,F2BS11P2,19.4,20.4,0
40,F2BS11P2,20.6,21.6,1
41,F2BS11P2,21.8,22.8,0
42,F2BS11P2,23.0,24.0,0
43,F2BS11P2,24.2,25.2,0
44,F2BS11P2,25.4,26.4,1
45,F2BS11P2,26.6,27.6,0
46,F2BS11P2,27.8,28.8,1
47,F2BS11P2,29.0,30.0,0
48,F2BS11P2,30.2,31.2,0
49,F2BS11P2,31.4,32.4,1
50,M1BS35P3,0.2,1.2,0
51,M1BS35P3,1.4,2.4,0
52,M1BS35P3,2.6,3.6,0
53,M1BS35P3,3.8,4.8,1
54,M1BS35P3,5.0,6.0,0
55,M1BS35P3,6.2,7.2,1
56,M1BS35P3,7.4,8.4,1
57,M1BS35P3,8.6,9.6,0
58,M1BS35P3,9.8,10.8,1
59,M1BS35P3,11.0,12.0,0
60,M1BS35P3,12.2,13.2,1
61,M1BS35P3,13.4,14.4,1
62,M1BS35P3,14.6,15.6,0
63,M1BS35P3,15.8,16.8,0
64,M1BS35P3,17.0,18.0,1
65,M1BS35P3,18.2,19.2,1
66,M1BS35P3,19.4,20.4,0
67,M1BS35P3,20.6,21.6,1
68,M1BS35P3,21.8,22.8,0
69,M1BS35P3,23.0,24.0,0
70,M1BS35P3,24.2,25.2,0
71,M1BS35P3,25.4,26.4,1
72,M2BRRLP2,0.2,1.2,0
73,M2BRRLP2,1.4,2.4,0
74,M2BRRLP2,2.6,3.6,0
75,M2BRRLP2,3.8,4.8,1
76,M2BRRLP2,5.0,6.0,0
77,M2BRRLP2,6.2,7.2,1
78,M2BRRLP2,7.4,8.4,1
79,M2BRRLP2,8.6,9.6,0
80,M2BRRLP2,9.8,10.8,1
81,M2BRRLP2,11.0,12.0,0
82,M2BRRLP2,12.2,13.2,1
83,M2BRRLP2,13.4,14.4,1
84,M2BRRLP2,14.6,15.6,0
85,M2BRRLP2,15.8,16.8,0
86,M2BRRLP2,17.0,18.0,1
87,M2BRRLP2,18.2,19.2,1
88,M2BRRLP2,19.4,20.4,0
89,M2BRRLP2,20.6,21.6,1
90,M2BRRLP2,21.8,22.8,0
91,M2BRRLP2,23.0,24.0,0
92,M2BRRLP2,24.2,25.2,0
93,M2BRRLP2,25.4,26.4,1
94,M2BRRLP2,26.6,27.6,0
95,M2BRRLP2,27.8,28.8,1
96,F1AS09P4,0.2,1.2,0
97,F1AS09P4,1.4,2.4,0
98,F1AS09P4,2.6,3.6,0
99,F1AS09P4,3.8,4.8,1
100,F1AS09P4,5.0,6.0,0
101,F1AS09P4,6.2,7.2,1
102,F1AS09P4,7.4,8.4,1
103,F1AS09P4,8.6,9.6,0
104,F1AS32P2,0.2,1.2,0
105,F1AS32P2,1.4,2.4,0
106,F1AS32P2,2.6,3.6,0
107,F1AS32P2,3.8,4.8,1
108,F1AS32P2,5.0,6.0,0
109,F1AS32P2,6.2,7.2,1
110,F1AS32P2,7.4,8.4,1
111,F1AS32P2,8.6,9.6,0
112,F1AS32P2,9.8,10.8,1
113,F1AS32P2,11.0,12.0,0
114,F1AS32P2,12.2,13.2,1
115,F1AS32P2,13.4,14.4,1
116,F1AS32P2,14.6,15.6,0
117,F1AS14P1,0.2,1.2,0
118,M1BS28P6,0.2,1.2,0
119,M1BS28P6,1.4,2.4,0
120,M1BS28P6,2.6,3.6,0
121,M1BS28P6,3.8,4.8,1
122,M1BS28P6,5.0,6.0,0
123,M1BS28P6,6.2,7.2,1
124,F1AS21P8,0.2,1.2,0
125,F1AS21P8,1.4,2.4,0
126,F1AS21P8,2.6,3.6,0
127,F1AS21P8,3.8,4.8,1
128,F1AS21P8,5.0,6.0,0
129,F1AS21P8,6.2,7.2,1
130,F1AS21P8,7.4,8.4,1
131,F1AS21P8,8.6,9.6,0
132,F1AS21P8,9.8,10.8,1
133,F1AS21P8,11.0,12.0,0
134,F1AS21P8,12.2,13.2,1
135,F1AS21P8,13.4,14.4,1
136,F1AS21P8,14.6,15.6,0
137,F1AS21P8,15.8,16.8,0
138,F1AS21P8,17.0,18.0,1
139,F1AS21P8,18.2,19.2,1
140,F1AS21P8,19.4,20.4,0
141,F1AS21P8,20.6,21.6,1
142,F1AS21P8,21.8,22.8,0
143,F1AS21P8,23.0,24.0,0
144,F1AS21P8,24.2,25.2,0
145,F1AS21P8,25.4,26.4,1
146,F1AS21P8,26.6,27.6,0
147,M2BS26P1,0.2,1.2,0
148,M2BS26P1,1.4,2.4,0
149,M2BS26P1,2.6,3.6,0
150,M2BS26P1,3.8,4.8,1
151,M2BS26P1,5.0,6.0,0
152,M2BS26P1,6.2,7.2,1
153,M2BS26P1,7.4,8.4,1
154,M2BS26P1,8.6,9.6,0
155,M2BS26P1,9.8,10.8,1
156,M2BS26P1,11.0,12.0,0
